1995	0.05367842362097721
1993	0.05238124652541849
1994	0.05120761010562728
1992	0.0503428253752548
1996	0.04756316017048613
1991	0.046513064426462414
1997	0.04645129408857866
1990	0.043424547532275
1998	0.03897708320464513
1989	0.038482920501575146
2010	0.031873494348014085
1987	0.029835073197850392
1988	0.029093829143245414
2011	0.02538760887022052
2009	0.024028661436778058
2012	0.023843350423126814
2000	0.021310766569893138
1985	0.0208783742047069
1986	0.02013713015010192
1999	0.02013713015010192
2002	0.01982827846068318
1984	0.01871641237877571
2001	0.018222249675705727
2013	0.016492680214960777
2008	0.015566125146704553
1983	0.015442584470937055
2003	0.015010192105750818
1982	0.014701340416332077
2014	0.014330718389029587
2007	0.011365742170609674
2004	0.010933349805423436
1981	0.010253876088702206
2005	0.00969794304774847
2006	0.009327321020445981
1980	0.008956698993143492
1979	0.007474210883933535
2015	0.006485885477793564
1977	0.004818086354932361
1978	0.004756316017048613
1976	0.003953301624559887
1975	0.0037679906109086415
1974	0.003335598245722404
1972	0.0029032058805361664
1973	0.002161961825931188
1900	0.0021001914880474397
1910	0.0017295694607449503
1912	0.001667799122861202
1971	0.001667799122861202
1905	0.001606028784977454
1911	0.001606028784977454
1968	0.0014207177713262092
1970	0.0012971770955587127
1902	0.0011736364197912164
1909	0.0011736364197912164
1967	0.001111866081907468
1908	0.0010500957440237198
2020	0.0010500957440237198
1904	0.000803014392488727
1903	0.0007412440546049787
1966	0.0006794737167212304
1907	0.0006794737167212304
1965	0.0006794737167212304
1969	0.0006794737167212304
2016	0.0006794737167212304
1906	0.0006177033788374823
1964	0.0004941627030699858
1957	0.0004941627030699858
2019	0.0004941627030699858
1901	0.0004941627030699858
1961	0.00043239236518623756
1962	0.00043239236518623756
1960	0.00043239236518623756
1963	0.00037062202730248935
2017	0.00037062202730248935
2030	0.00037062202730248935
2091	0.00030885168941874113
1954	0.00030885168941874113
1928	0.0002470813515349929
1953	0.0002470813515349929
1920	0.0002470813515349929
2018	0.0002470813515349929
1919	0.0002470813515349929
2099	0.00018531101365124467
2021	0.00018531101365124467
2090	0.00018531101365124467
2089	0.00018531101365124467
2098	0.00018531101365124467
1950	0.00018531101365124467
1947	0.00018531101365124467
2045	0.00018531101365124467
1955	0.00018531101365124467
1945	0.00018531101365124467
2080	0.00012354067576749646
1958	0.00012354067576749646
1959	0.00012354067576749646
1939	0.00012354067576749646
2032	0.00012354067576749646
2060	0.00012354067576749646
2035	0.00012354067576749646
1956	0.00012354067576749646
1948	0.00012354067576749646
2025	0.00012354067576749646
1949	0.00012354067576749646
2075	6.177033788374823e-05
2088	6.177033788374823e-05
1952	6.177033788374823e-05
1944	6.177033788374823e-05
2056	6.177033788374823e-05
1929	6.177033788374823e-05
2061	6.177033788374823e-05
1943	6.177033788374823e-05
1934	6.177033788374823e-05
2068	6.177033788374823e-05
2055	6.177033788374823e-05
2026	6.177033788374823e-05
2050	6.177033788374823e-05
2024	6.177033788374823e-05
2031	6.177033788374823e-05
1921	6.177033788374823e-05
2053	6.177033788374823e-05
2028	6.177033788374823e-05
1940	6.177033788374823e-05
2066	6.177033788374823e-05
1931	6.177033788374823e-05
2043	6.177033788374823e-05
2029	6.177033788374823e-05
1930	6.177033788374823e-05
1917	6.177033788374823e-05
2085	6.177033788374823e-05
2093	6.177033788374823e-05
2040	6.177033788374823e-05
2076	6.177033788374823e-05
2079	6.177033788374823e-05
2027	6.177033788374823e-05
1951	6.177033788374823e-05
2054	6.177033788374823e-05
2051	6.177033788374823e-05
2094	6.177033788374823e-05
1926	6.177033788374823e-05
1922	6.177033788374823e-05
