D10	0.12736872817913317
D11	0.10478663067913889
D6	0.08671897199387206
A4	0.07000351190734659
A8	0.06201830305551175
A7	0.05585380104930611
A6	0.052313707027699885
A9	0.04771242278184199
A5	0.045429302105544626
A10	0.03598600417315151
D3	0.0351480219429456
D8	0.030381426657128906
D1	0.029473358640396685
D9	0.028040409026744584
D2	0.025649874264575368
A11	0.02162070334133987
A1	0.015992509962466015
A3	0.015335836614795567
D7	0.014980075067971785
O1	0.014457478877134283
D4	0.012838649568781963
A2	0.012564400838896393
A12	0.012387662768525692
Y1	0.012332813022548577
A13	0.006136315331189622
D12	0.005553536780182787
D5	0.0038189135636565582
A14	0.003143956967327073
D13	0.0016142584961875617
A15	0.0014641834967779584
O2	0.0013202029135880341
D14	0.000888261164018262
A16	0.000787703296393553
O3	0.0007671346416521353
K4	0.0007663728396246754
E	0.0004601284245857892
D15	0.000380139211702498
A17	0.0002925319785446077
O4	0.0002666307096109706
K5	0.0002620598974462111
K6	0.00023387322243019417
D16	0.00022777880621051484
W	0.00021406636971623637
D18	0.0001874032987551393
K7	0.000163025633876422
O6	0.00015616941562928276
A18	0.00015540761360182285
K8	0.0001005578676247089
D20	8.760723315789032e-05
K10	8.456002504805066e-05
O5	7.541840071853167e-05
D19	6.627677638901268e-05
O8	5.8658756114413525e-05
D17	5.561154800457386e-05
O10	5.4849745977113946e-05
K9	5.180253786727428e-05
A19	5.180253786727428e-05
K11	5.027893381235445e-05
O7	4.5708121647594955e-05
O9	4.0375507455375543e-05
A32	3.961370542791563e-05
D32	3.580469529061605e-05
X1	3.504289326315613e-05
D21	3.123388312585655e-05
A26	2.590126893363714e-05
A21	2.2854060823797477e-05
K12	2.1330456768877646e-05
O11	2.056865474141773e-05
A20	1.9045050686497898e-05
D24	1.8283248659037982e-05
O12	1.675964460411815e-05
O32	1.5997842576658234e-05
A22	1.5997842576658234e-05
A23	1.5997842576658234e-05
D27	1.5236040549198318e-05
D30	1.4474238521738402e-05
D22	1.295063446681857e-05
A24	1.2188832439358655e-05
D23	1.0665228384438823e-05
K13	9.141624329518991e-06
D31	6.856218247139243e-06
A25	6.856218247139243e-06
O13	6.094416219679327e-06
D25	6.094416219679327e-06
O16	5.332614192219411e-06
D26	5.332614192219411e-06
K20	4.5708121647594955e-06
O15	4.5708121647594955e-06
O14	4.5708121647594955e-06
O20	4.5708121647594955e-06
A27	4.5708121647594955e-06
A29	4.5708121647594955e-06
D28	3.8090101372995796e-06
O17	3.0472081098396637e-06
D29	3.0472081098396637e-06
K16	3.0472081098396637e-06
A31	3.0472081098396637e-06
O34	2.2854060823797477e-06
O18	2.2854060823797477e-06
K18	2.2854060823797477e-06
O21	2.2854060823797477e-06
A30	2.2854060823797477e-06
A28	2.2854060823797477e-06
K19	2.2854060823797477e-06
O22	1.5236040549198318e-06
O19	1.5236040549198318e-06
O23	1.5236040549198318e-06
O30	1.5236040549198318e-06
O29	1.5236040549198318e-06
K21	1.5236040549198318e-06
O24	7.618020274599159e-07
K14	7.618020274599159e-07
O25	7.618020274599159e-07
K24	7.618020274599159e-07
O26	7.618020274599159e-07
O33	7.618020274599159e-07
O31	7.618020274599159e-07
K15	7.618020274599159e-07
K17	7.618020274599159e-07
O27	7.618020274599159e-07
