D10	0.10728108665126927
A4	0.08845497701170901
D8	0.07349067030378463
O1	0.06390299357995025
D3	0.054299507465625355
A5	0.054277949205865574
A8	0.04996629725390887
A6	0.0484097908992525
A7	0.047423859819571736
D2	0.0399833857678118
A3	0.03833920915679897
A9	0.03533829939823711
D4	0.034074985376313795
Y1	0.027758415266697232
D1	0.026815600706536033
A2	0.02635856559962862
A10	0.02376438834186801
D9	0.022736777959984994
D11	0.021173085518742033
D6	0.0206686222403631
A1	0.017367334062481584
A11	0.016755079485303734
A12	0.01118155072874104
D5	0.011172927424837128
A13	0.007318310579787838
D7	0.005744557617323643
A14	0.004770124276181428
A15	0.0029462955005037446
O2	0.002499320914817567
D12	0.0022090030167191493
A16	0.001779275038840798
A17	0.00116270880971099
O3	0.0011555227231243954
W	0.0008968236060069935
K4	0.0007775345686695249
A18	0.0007071109201208987
D13	0.0006524966620627805
K5	0.0005777613615621977
A19	0.0004297279778783511
A20	0.00037655093713755177
O4	0.00037367650250291393
K6	0.00036936485055095726
A21	0.00035499267737776824
D14	0.0003377460695699415
E	0.00030900172322356344
K7	0.0002543874651654453
A22	0.00024145250930957516
A23	0.00021701981491515387
D16	0.00020264764174196488
D15	0.000201210424424646
A24	0.00017677773003022467
O5	0.0001739032953955869
A26	0.00010347964684696079
K10	9.341912562572848e-05
A25	9.341912562572848e-05
O6	8.91074736737718e-05
K8	8.048416976985839e-05
A27	8.048416976985839e-05
A28	7.76097351352206e-05
D18	7.186086586594499e-05
D17	6.754921391398829e-05
D20	6.61119965966694e-05
K9	6.61119965966694e-05
O8	6.467477927935049e-05
A29	6.467477927935049e-05
D19	5.1739823423480395e-05
X1	5.03026061061615e-05
A30	4.886538878884259e-05
O9	4.5990954154204796e-05
O7	4.5990954154204796e-05
O10	3.30559982983347e-05
D22	2.4432694394421296e-05
D21	2.2995477077102398e-05
O11	2.1558259759783496e-05
K11	1.72466078078268e-05
O12	1.72466078078268e-05
A39	1.5809390490507897e-05
A37	1.5809390490507897e-05
A32	1.4372173173188999e-05
D26	1.4372173173188999e-05
D23	1.2934955855870099e-05
D25	1.2934955855870099e-05
D24	1.2934955855870099e-05
A31	1.2934955855870099e-05
A34	1.2934955855870099e-05
O13	1.1497738538551199e-05
A38	1.1497738538551199e-05
A33	1.0060521221232299e-05
A48	1.0060521221232299e-05
O14	1.0060521221232299e-05
D30	8.6233039039134e-06
A47	8.6233039039134e-06
D29	8.6233039039134e-06
O16	7.186086586594499e-06
O20	7.186086586594499e-06
O15	7.186086586594499e-06
D28	7.186086586594499e-06
A44	7.186086586594499e-06
A36	7.186086586594499e-06
A35	5.7488692692755995e-06
A55	5.7488692692755995e-06
A41	5.7488692692755995e-06
O18	5.7488692692755995e-06
O17	5.7488692692755995e-06
D27	5.7488692692755995e-06
A40	4.3116519519567e-06
K12	4.3116519519567e-06
D33	4.3116519519567e-06
A53	4.3116519519567e-06
D32	4.3116519519567e-06
D36	4.3116519519567e-06
O30	2.8744346346377997e-06
A49	2.8744346346377997e-06
O19	2.8744346346377997e-06
A54	2.8744346346377997e-06
A43	2.8744346346377997e-06
A46	2.8744346346377997e-06
O23	2.8744346346377997e-06
A52	2.8744346346377997e-06
O26	2.8744346346377997e-06
D34	2.8744346346377997e-06
A75	1.4372173173188999e-06
A62	1.4372173173188999e-06
A45	1.4372173173188999e-06
A65	1.4372173173188999e-06
A67	1.4372173173188999e-06
D54	1.4372173173188999e-06
D39	1.4372173173188999e-06
K16	1.4372173173188999e-06
D45	1.4372173173188999e-06
A58	1.4372173173188999e-06
A126	1.4372173173188999e-06
D31	1.4372173173188999e-06
O41	1.4372173173188999e-06
A64	1.4372173173188999e-06
O25	1.4372173173188999e-06
A42	1.4372173173188999e-06
D43	1.4372173173188999e-06
D184	1.4372173173188999e-06
A61	1.4372173173188999e-06
O40	1.4372173173188999e-06
A102	1.4372173173188999e-06
D41	1.4372173173188999e-06
D46	1.4372173173188999e-06
A109	1.4372173173188999e-06
D40	1.4372173173188999e-06
O28	1.4372173173188999e-06
A73	1.4372173173188999e-06
A57	1.4372173173188999e-06
A51	1.4372173173188999e-06
K13	1.4372173173188999e-06
A211	1.4372173173188999e-06
D123	1.4372173173188999e-06
A59	1.4372173173188999e-06
O27	1.4372173173188999e-06
A63	1.4372173173188999e-06
A56	1.4372173173188999e-06
A66	1.4372173173188999e-06
A84	1.4372173173188999e-06
